"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MDG",2001,86956.83269885377372525,42012329.6477560218481715
"MDG",2002,89317.51418674191235718,42817518.773017826454167
"MDG",2003,84247.95977444531126531,38126491.448917869287370
"MDG",2004,81845.25203281831934855,39672215.674952048764178
"MDG",2005,93628.14995910401752607,42786702.1447003005190825
"MDG",2006,71034.03765642461593655,28429020.589522894976517
"MDG",2007,188580.08889703693132804,88338080.611487292035946
"MDG",2008,123502.26731842313156769,55570161.278692775049259
"MDG",2009,136536.77135405054478190,64872823.160893585597040
"MDG",2010,107218.89158343031305856,49124675.580230866809876
"MDG",2011,162323.48199746360235310,81012567.081085318380078
"MDG",2012,128468.16279301151522593,61498988.844649823961004
"MDG",2013,299350.32439256953741755,151662086.8609899291030394
"MDG",2014,416682.18295651353394835,199334032.6189236502550125
"MDG",2015,301788.65834900832628670,151689472.326116253954117
"MDG",2016,383655.62498675137749379,199683227.427886197934862
"MDG",2017,510356.85613728698581846,258852539.972018234605443
"MDG",2018,366619.93619631061562835,187436141.198388093449569
"MDG",2019,254242.73728300490766773,125972962.192728793571525
"MDG",2020,241112.07861872572308468,126537601.380882057406840
"MDG",2021,234879.89400163659153117,121041398.1023703065762603
"MDG",2022,256379.43620821050317058,135216959.831622315807658
